State,Region,Division,Handgun Checks,Long Gun Checks,Multiple Checks,Total Checks,Rifles Manufactured,Pistols Manufactured,Shotguns Manufactured,Revolvers Manufactured,Misc Manufactured,Total Manufactured
AK,West,Pacific,37491,36887,2316,76694,104,3,0,8,78,193
AL,South,East South Central,153123,121963,6545,281631,290699,84903,46364,0,428,422394
AR,South,West South Central,80244,82120,4400,166764,2978,13456,347,0,4316,21097
AZ,West,Mountain,166784,108988,7908,283680,12974,904147,7,14,19298,936440
CA,West,Pacific,560355,554550,0,1114905,17742,54242,0,0,18149,90133
CO,West,Mountain,242502,180026,14293,436821,878,109,0,0,660,1647
CT,Northeast,New England,122375,43813,0,166188,187224,77246,9756,45094,178,319498
DE,South,South Atlantic,25574,21746,1034,48354,48,0,0,0,0,48
FL,South,South Atlantic,662308,316232,25142,1003682,49257,344806,29342,199912,99046,722363
GA,South,South Atlantic,194800,128277,7478,330555,3928,379516,14,16,1070,384544
HI,West,Pacific,0,0,0,0,42,0,0,0,0,42
IA,Midwest,West North Central,2790,35254,70,38114,2222,4107,21,5,1486,7841
ID,West,Mountain,46523,55591,2406,104520,11375,1147,716,0,9975,23213
IL,Midwest,East North Central,352411,177255,12133,541799,119578,79966,2927,1,3818,206290
IN,Midwest,East North Central,278182,177218,9082,464482,2225,378,501,0,2639,5743
KS,Midwest,West North Central,81116,73748,4271,159135,270,145,1,0,3500,3916
KY,South,East South Central,140721,109030,6943,256694,454881,3748,0,10,1542,460181
LA,South,West South Central,171588,139122,8609,319319,251,19,2,0,39,311
MA,Northeast,New England,75977,41931,2480,120388,726077,1471896,16239,294680,125148,2634040
MD,South,South Atlantic,52305,71892,337,124534,25156,43157,28098,0,1456,97867
ME,Northeast,New England,48845,46780,2458,98083,64818,442,0,0,14,65274
MI,Midwest,East North Central,164878,129089,2815,296782,679,29,0,0,1903,2611
MN,Midwest,West North Central,133962,143543,5046,282551,4605,18849,0,1072,18243,42769
MO,Midwest,West North Central,274754,202708,12753,490215,11732,2837,3023,0,21591,39183
MS,South,East South Central,119050,92822,5263,217135,877,64,5,0,629,1575
MT,West,Mountain,37547,56834,2678,97059,18632,3,0,0,2206,20841
NC,South,South Atlantic,16595,176919,2812,196326,292210,108395,0,0,26919,427524
ND,Midwest,West North Central,19975,34013,972,54960,185,9,0,0,120,314
NE,Midwest,West North Central,1717,26494,82,28293,107,59,1,2,378,547
NH,Northeast,New England,68529,44681,55,113265,550719,602392,179,248470,92043,1493803
NJ,Northeast,Middle Atlantic,70249,49099,0,119348,258568,1,0,0,37,258606
NM,West,Mountain,69434,55664,3732,128830,183,16,0,0,1,200
NV,West,Mountain,66158,38105,3723,107986,1787,37138,80,17,28730,67752
NY,Northeast,Middle Atlantic,133285,197670,2466,333421,309229,230843,339508,3340,5204,888124
OH,Midwest,East North Central,394570,243963,16333,654866,71484,147579,1530,0,10695,231288
OK,Midwest,West South Central,166181,130514,10661,307356,1235,78,10,0,1868,3191
OR,West,Pacific,178716,143029,0,321745,8788,501,2,0,1877,11168
PA,Northeast,Middle Atlantic,642232,158141,0,800373,83688,1152,16,0,733,85589
PR,Territory,Territory,12779,2416,275,15470,12,0,0,0,0,12
RI,Northeast,New England,14262,10204,1999,26465,301,1257,0,0,0,1558
SC,South,South Atlantic,132473,87413,4490,224376,119335,6057,2017,0,137890,265299
SD,Midwest,West North Central,36520,49522,2184,88226,185150,9,0,0,98,185257
TN,South,East South Central,319169,210161,11092,540422,7943,1439,10,42,17857,27291
TX,South,West South Central,637476,481609,33102,1152187,180795,31071,367550,2,6947,586365
UT,West,Mountain,47401,54133,1191,102725,7931,57396,0,63084,20765,149176
VA,South,South Atlantic,295963,209975,0,505938,6925,5294,1,5,1774,13999
VT,Northeast,New England,18320,18853,885,38058,90140,3435,0,0,54235,147810
WA,West,Pacific,214106,151029,8028,373163,16252,310,18,0,86312,102892
WI,Midwest,East North Central,186300,159784,523,346607,35177,374,322,0,25,35898
WV,South,South Atlantic,92124,81105,5283,178512,712,29,1,0,1185,1927
WY,West,Mountain,22569,25815,1295,49679,1227,26,9,517,18,1797
