Row Labels,Sum of Dealerships,Sum of Manufacturers
Midwest,19332,2556
Illinois,2129,192
Indiana,1496,206
Iowa,1362,120
Kansas,1133,152
Michigan,2230,253
Minnesota,1507,194
Missouri,2272,304
Nebraska,735,70
North Dakota,486,13
Ohio,2392,444
Oklahoma,1479,302
South Dakota,552,50
Wisconsin,1559,256
Northeast,6782,1216
Connecticut,434,159
Maine,507,92
Massachusetts,381,179
New Hampshire,419,144
New Jersey,342,28
New York,1753,189
Pennsylvania,2554,347
Rhode Island,86,17
Vermont,306,61
South,25424,4392
Alabama,1204,186
Arkansas,1253,202
Delaware,132,7
Florida,2833,721
Georgia,1944,331
Kentucky,1485,151
Louisiana,1261,161
Maryland,537,127
Mississippi,976,120
North Carolina,2401,399
South Carolina,1081,177
Tennessee,1533,243
Texas,6185,1197
Virginia,1638,293
West Virginia,961,77
Territory,46,6
Puerto Rico,46,6
West,13143,3050
Alaska,618,60
Arizona,1433,626
California,2291,526
Colorado,1630,334
Hawaii,109,6
Idaho,859,224
Montana,1074,157
Nevada,506,184
New Mexico,636,139
Oregon,1472,187
Utah,758,274
Washington,1150,244
Wyoming,607,89
(blank),,
(blank),,
Grand Total,64727,11220
