State,Rifles Manufactured,Pistols Manufactured,Shotguns Manufactured,Revolvers Manufactured,Misc Manufactured,Total Manufactured
AK,104,3,0,8,78,193
AL,290699,84903,46364,0,428,422394
AR,2978,13456,347,0,4316,21097
AZ,12974,904147,7,14,19298,936440
CA,17742,54242,0,0,18149,90133
CO,878,109,0,0,660,1647
CT,187224,77246,9756,45094,178,319498
DE,48,0,0,0,0,48
FL,49257,344806,29342,199912,99046,722363
GA,3928,379516,14,16,1070,384544
HI,42,0,0,0,0,42
IA,2222,4107,21,5,1486,7841
ID,11375,1147,716,0,9975,23213
IL,119578,79966,2927,1,3818,206290
IN,2225,378,501,0,2639,5743
KS,270,145,1,0,3500,3916
KY,454881,3748,0,10,1542,460181
LA,251,19,2,0,39,311
MA,726077,1471896,16239,294680,125148,2634040
MD,25156,43157,28098,0,1456,97867
ME,64818,442,0,0,14,65274
MI,679,29,0,0,1903,2611
MN,4605,18849,0,1072,18243,42769
MO,11732,2837,3023,0,21591,39183
MS,877,64,5,0,629,1575
MT,18632,3,0,0,2206,20841
NC,292210,108395,0,0,26919,427524
ND,185,9,0,0,120,314
NE,107,59,1,2,378,547
NH,550719,602392,179,248470,92043,1493803
NJ,258568,1,0,0,37,258606
NM,183,16,0,0,1,200
NV,1787,37138,80,17,28730,67752
NY,309229,230843,339508,3340,5204,888124
OH,71484,147579,1530,0,10695,231288
OK,1235,78,10,0,1868,3191
OR,8788,501,2,0,1877,11168
PA,83688,1152,16,0,733,85589
RI,301,1257,0,0,0,1558
SC,119335,6057,2017,0,137890,265299
SD,185150,9,0,0,98,185257
TN,7943,1439,10,42,17857,27291
TX,180795,31071,367550,2,6947,586365
UT,7931,57396,0,63084,20765,149176
VA,6925,5294,1,5,1774,13999
VT,90140,3435,0,0,54235,147810
WA,16252,310,18,0,86312,102892
WI,35177,374,322,0,25,35898
WV,712,29,1,0,1185,1927
WY,1227,26,9,517,18,1797
