City,State,Dealers,lat,lon
Houston,Texas,323,29.760427,-95.369804
San Antonio,Texas,193,29.424122,-98.493629
Phoenix,Arizona,189,33.448376,-112.074036
Colorado Springs,Colorado,143,38.83522,-104.819801
Tucson,Arizona,141,32.222607,-110.974709
Anchorage,Alaska,128,61.218056,-149.900284
Oklahoma City,Oklahoma,127,35.46756,-97.516426
Albuquerque,New Mexico,126,35.084385,-106.650421
Fort Worth,Texas,110,32.755489,-97.330765
Jacksonville,Florida,107,30.332184,-81.655647
Austin,Texas,105,30.267153,-97.743057
Dallas,Texas,104,32.776665,-96.796989
El Paso,Texas,102,31.8064,-106.2221
Louisville,Kentucky,99,38.2542,-85.7594
Bakersfield,California,97,35.373291,-119.018715
Las Vegas,Nevada,93,36.1663,-115.1492
Amarillo,Texas,92,35.221996,-101.831299
Lubbock,Texas,90,33.5779,-101.8552
Mesa,Arizona,89,33.415184,-111.831474
Miami,Florida,88,25.761681,-80.191788
Tulsa,Oklahoma,81,36.1012,-95.9251
Wichita,Kansas,80,37.6922,-97.3375
Billings,Montana,78,45.78265,-108.504578
Scottsdale,Arizona,78,33.5091,-111.8992
Boise,Idaho,77,43.615,-116.2044
Portland,Oregon,76,45.51223,-122.658722
Tampa,Florida,76,27.9478,-82.4584
Cincinnati,Ohio,76,39.1015,-84.5125
Midland,Texas,74,31.8369,-102.0104
Orlando,Florida,74,28.538336,-81.379234
Arlington,Texas,70,32.735687,-97.108063
Reno,Nevada,68,39.5293,-119.8137
Shreveport,Louisiana,68,32.5222,-93.7652
Charlotte,North Carolina,67,35.227087,-80.843127
Indianapolis,Indiana,65,39.768403,-86.158068
Greatfalls,Montana,65,46.681628,-109.341455
Cheyenne,Wyoming,61,41.14,-104.8202
Bend,Oregon,61,44.0582,-121.3153
Columbus,Ohio,59,39.9623,-83.0007
Springfield,Missouri,58,37.215519,-93.292358
San Angelo,Texas,58,31.463772,-100.437037
Memphis,Tennessee,57,35.149534,-90.04898
Saint Louis,Missouri,57,38.63,-90.19
Fairbanks,Alaska,57,64.8378,-147.7164
Saint Louis,Missouri,57,38.63,-90.19
Tallahassee,Florida,57,30.438256,-84.280733
Salem,Oregon,56,44.9392,-123.0331
Virginia Beach,Virginia,56,36.852926,-75.977985
Corpus Christi,Texas,56,27.800583,-97.396381
Rapid City,South Dakota,54,44.0812,-103.228
Omaha,Nebraska,54,41.2587,-95.9379
Helena,Montana,54,46.589145,-112.039106
Spring,Texas,54,30.07994,-95.41716
Baton Rouge,Louisiana,54,30.451468,-91.187147
Henderson,Nevada,53,36.039524,-114.98172
Glendale,Arizona,53,33.538652,-112.185987
Knoxville,Tennessee,53,35.960636,-83.920738
Eugene,Oregon,52,44.052071,-123.086754
Conroe,Texas,52,30.311877,-95.456051
Missoula,Montana,51,46.8701,-113.9953
Wasilla,Alaska,50,61.5828,-149.4381
Penascola,Florida,50,30.421309,-87.216915
Casper,Wyoming,50,42.850077,-106.325175
Aurora,Colorado,49,39.729432,-104.83192
Tyler,Texas,49,32.35126,-95.301062
Ocala,Florida,49,29.187199,-82.140092
Kalispell,Montana,49,48.2023,-114.3167
Topeka,Kansas,48,39.047345,-95.675158
Bismarck,North Dakota,48,46.808327,-100.783739
Laredo,Texas,48,27.503561,-99.507553
Wilmington,North Carolina,47,34.210389,-77.886812
Prescott,Arizona,47,34.540024,-112.468502
Grand Junction,Colorado,47,39.112477,-108.533034
Gillette,Wyoming,47,44.291092,-105.502221
Springfield,Illinois,46,39.799358,-89.643623
Nashville,Tennessee,46,36.162663,-86.781601
Waco,Texas,46,31.549334,-97.146667
Nampa,Indiana,46,43.578817,-116.55978
Bozeman,Montana,46,45.679984,-111.0447
Fredericksburg,Virginia,45,37.73086,-78.376655
Denver,Colorado,45,39.739236,-104.990251
Vancouver,Washington,45,45.635513,-122.557831
Sioux Falls,South Dakota,45,43.544596,-96.731103
Mobile,Alabama,45,30.695366,-88.039894
Columbia,Missouri,44,38.95155,-92.32859
Huntsville,Alabama,44,34.729542,-86.585297
Spokane,Washington,44,47.6589,-117.4247
Fresno,California,44,36.737798,-119.787125
Las Cruces,New Mexico,44,32.31994,-106.763654
Lakewood,Colorado,43,39.710999,-105.088867
Gilbert,Arizona,43,33.352825,-111.789024
Plano,Texas,43,33.019843,-96.698886
Raleign,North Carolina,43,35.779591,-78.638176
Pittsburgh,Pennsylvania,43,40.442169,-79.994957
Edmond,Oklahoma,43,35.652832,-97.478095
Cape Coral,Florida,43,26.562854,-81.949533
Fayetteville,North Carolina,42,35.052664,-78.878358
Lafayette,Louisiana,42,30.22409,-92.019843
Winchester,Virginia,42,39.185218,-78.16524
Parker,Colorado,42,39.5186,-104.761363
Lakeland,Florida,42,28.039465,-81.949806
