State,Manufactured,Sales,Population,"Sales per 100,000 People","Sales per 1,000 People"
Alabama,421966,315685,4860545,6495,64.948478
Alaska,115,86448,741522,11658,116.5818411
Arizona,917142,319165,6908642,4620,46.19793586
Arkansas,16781,187400,2988231,6271,62.71268854
California,71984,1226396,39296476,3121,31.20880356
Colorado,987,493367,5530105,8921,89.21476175
Connecticut,319320,182807,3587685,5095,50.95402746
Delaware,48,54120,952698,5681,56.80708892
Florida,623317,1126678,684336,164638,1646.38131
Georgia,383474,370341,20656589,1793,17.92846825
Hawaii,42,0,10313620,0,0
Idaho,13238,117137,1428683,8199,81.98949662
Illinois,202472,606899,1680026,36124,361.2438141
Indiana,3104,519104,12835726,4044,40.44212225
Iowa,6355,41988,6634007,633,6.329206466
Kansas,416,178892,3130869,5714,57.13813002
Kentucky,458639,288612,2907731,9926,99.25677444
Louisiana,272,358999,4436113,8093,80.92647775
Maine,65260,110104,4686157,2350,23.49558498
Maryland,96411,137291,1330232,10321,103.2083125
Massachusetts,2508892,134659,6024752,2235,22.3509615
Michigan,708,328994,6823721,4821,48.21328422
Minnesota,24526,315348,9933445,3175,31.74608608
Mississippi,946,243585,5525050,4409,44.08738382
Missouri,17592,550714,2985415,18447,184.468156
Montana,18635,109175,6091176,1792,17.92346831
Nebraska,169,31196,1038656,3004,30.03496827
Nevada,39022,122135,1907603,6403,64.02537635
New Hampshire,1401760,124641,2939254,4241,42.40565803
New Jersey,258569,131283,1335015,9834,98.33822092
New Mexico,199,145072,8978416,1616,16.15786125
New York,882920,368983,2085432,17693,176.9336042
North Carolina,400605,218489,19836286,1101,11.01461231
North Dakota,194,61331,10156689,604,6.038483604
Ohio,220593,735052,755548,97287,972.8726699
Oklahoma,1323,347687,11622554,2991,29.91485348
Oregon,9291,353920,3921207,9026,90.25792313
Pennsylvania,84856,880410,4085989,21547,215.4704773
Puerto Rico,12,17265,12787085,135,1.350190446
Rhode Island,1558,30911,1057566,2923,29.22843586
South Carolina,127409,250855,4959822,5058,50.57741992
South Dakota,185159,99014,861542,11493,114.9264923
Tennessee,9434,604447,6649404,9090,90.90243276
Texas,579418,1297198,27904862,4649,46.486451
Utah,128411,114069,3044321,3747,37.469439
Vermont,93575,42660,623354,6844,68.43623366
Virginia,12225,556532,8414380,6614,66.14058314
Washington,16580,417705,7280934,5737,57.3697001
West Virginia,742,201118,1828637,10998,109.9824623
Wisconsin,35873,381738,5772917,6613,66.12566922
Wyoming,1779,55812,584910,9542,95.41980818
