Year,Multiple,Long Gun,Handgun,Estimated Gun Sales,Guns Manufactured
1999,207486,5739196.1,2790411.8,8737094,4047747
2000,191554,5257975.8,2411066.9,7860597,3793541
2001,191448,5258367.4,2403847.6,7853663,2932655
2002,186138,4850242.1,2029623.2,7066003,3366895
2003,198472,4821362.7,2036185.8,7056021,3308404
2004,203970,4957531.7,2189506,7351008,3099025
2005,219500,5042908.2,2465914,7728322,3241494
2006,260234,5268550.1,2685457.5,8214242,3653324
2007,648802,5027766.7,2899191.9,8575761,3922613
2008,374158,5398763.7,3664318.9,9437241,4498944
2009,471370,5476505.1,4058564.4,10006440,5555818
2010,361218,5326402.4,4045801.1,9733422,5459240
2011,439236,5990562.6,4731527.9,11161327,6541886
2012,460540,7552847.5,6251259.3,14264647,8578610
2013,482720,7841677.8,7026252.2,15350650,10844792
2014,450950,6097708.1,6819167.3,13367825,9050626
2015,484750,6027385.1,8067188.8,14579324,9358661
2016,515446,6587362.1,8894047.8,15996856,11497441
