Year,Guns Exported,Guns Imported,Guns Manufactured
1986,217448,701000,3040934
1987,288045,1063513,3559663
1988,257182,1276268,3963877
1989,261282,1007781,4418393
1990,361625,843809,3959968
1991,401165,720657,3563106
1992,403791,2846710,4175836
1993,431204,3043321,5055637
1994,404473,1880902,5173217
1995,424221,1103404,4316342
1996,331997,881578,3854439
1997,275081,939415,3593504
1998,203344,999810,3713590
1999,220318,891799,4047747
2000,172627,1096782,3793541
2001,172611,1366896,2932655
2002,150756,1629237,3366895
2003,141912,1466502,3308404
2004,139920,1910859,3099025
2005,194682,2106675,3241494
2006,367521,2432522,3653324
2007,204782,2743993,3922613
2008,228488,2606386,4498944
2009,194744,3607106,5555818
2010,241977,2839947,5459240
2011,296888,3252404,6541886
2012,287554,4844590,8578610
2013,393121,5539539,10844792
2014,420932,3625268,9050626
2015,343456,3930211,9358661
2016,376818,5137771,11497441
