Year,Rifles,Pistols,Shotguns,Revolvers,Misc,Total
1986,970507,662973,641482,761414,4558,3040934
1987,1007661,964561,857949,722512,6980,3559663
1988,1144707,1101011,928070,754744,35345,3963877
1989,1407400,1404753,935541,628573,42126,4418393
1990,1211664,1371427,848948,470495,57434,3959968
1991,883482,1378252,828426,456966,15980,3563106
1992,1001833,1669537,1018204,469413,16849,4175836
1993,1173694,2093362,1144940,562292,81349,5055637
1994,1316607,2004298,1254926,586450,10936,5173217
1995,1411120,1195284,1173645,527664,8629,4316342
1996,1424315,987528,925732,498944,17920,3854439
1997,1251341,1036077,915978,370428,19680,3593504
1998,1535690,960365,868639,324390,24506,3713590
1999,1569685,995446,1106995,335784,39837,4047747
2000,1583042,962901,898442,318960,30196,3793541
2001,1284554,626836,679813,320143,21309,2932655
2002,1515286,741514,741325,347070,21700,3366895
2003,1430324,811660,726078,309364,30978,3308404
2004,1325138,728511,731769,294099,19508,3099025
2005,1431372,803425,709313,274205,23179,3241494
2006,1496505,1021260,714618,385069,35872,3653324
2007,1610923,1219664,645231,391334,55461,3922613
2008,1734536,1609381,630710,431753,92564,4498944
2009,2248851,1868258,752699,547195,138815,5555818
2010,1830556,2258450,743378,558927,67929,5459240
2011,2318088,2598133,862401,572857,190407,6541886
2012,3168206,3487883,949010,667357,306154,8578610
2013,3979570,4441726,1203072,725282,495142,10844792
2014,3379549,3633454,935411,744047,358165,9050626
2015,3691799,3557199,777273,885259,447131,9358661
2016,4239335,4720075,848617,856291,833123,11497441
